cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p1
cty18031,"Decatur County, IN",13411.241
cty18085,"Kosciusko County, IN",13119.511
cty18055,"Greene County, IN",13111.03
cty18033,"DeKalb County, IN",13102.571
cty18069,"Huntington County, IN",13047.904
cty18077,"Jefferson County, IN",12558.55
cty18079,"Jennings County, IN",12440.494
cty18023,"Clinton County, IN",12093.71
cty18065,"Henry County, IN",11674.785
cty18075,"Jay County, IN",11049.222
cty18083,"Knox County, IN",9634.4561
cty18041,"Fayette County, IN",9355.6719
cty18067,"Howard County, IN",8461.0889
cty18027,"Daviess County, IN",7863.4014
cty18021,"Clay County, IN",5758.0239
cty18025,"Crawford County, IN",
cty18137,"Ripley County, IN",19248.707
cty18183,"Whitley County, IN",17518.637
cty18127,"Porter County, IN",16750.277
cty18089,"Lake County, IN",16730.525
cty18139,"Rush County, IN",16218.087
cty18157,"Tippecanoe County, IN",15919.019
cty18133,"Putnam County, IN",15495.362
cty18091,"LaPorte County, IN",15119.5
cty18099,"Marshall County, IN",14759.213
cty18141,"St. Joseph County, IN",14512.43
cty18145,"Shelby County, IN",14395.339
cty18097,"Marion County, IN",14259.605
cty18179,"Wells County, IN",13899.581
cty18105,"Monroe County, IN",13719.845
cty18181,"White County, IN",13689.265
cty18113,"Noble County, IN",13478.096
cty18163,"Vanderburgh County, IN",13469.578
cty18177,"Wayne County, IN",13429.598
cty18173,"Warrick County, IN",13189.948
cty18167,"Vigo County, IN",12993.704
cty18093,"Lawrence County, IN",12122.208
cty18095,"Madison County, IN",11574.999
cty18101,"Martin County, IN",
cty18121,"Parke County, IN",14327.418
cty18107,"Montgomery County, IN",13641.239
cty18151,"Steuben County, IN",11965.595
cty18117,"Orange County, IN",11153.501
cty18109,"Morgan County, IN",10616.246
cty18103,"Miami County, IN",9764.9307
cty18111,"Newton County, IN",
cty18115,"Ohio County, IN",
cty18135,"Randolph County, IN",11288.686
cty18143,"Scott County, IN",11124.556
cty18129,"Posey County, IN",10968.943
cty18175,"Washington County, IN",10302.005
cty18169,"Wabash County, IN",9805.6172
cty18123,"Perry County, IN",9414.585
cty18119,"Owen County, IN",9253.5488
cty18087,"LaGrange County, IN",2963.0596
cty18125,"Pike County, IN",
cty18131,"Pulaski County, IN",
cty18147,"Spencer County, IN",
cty18153,"Sullivan County, IN",10671.683
cty18149,"Starke County, IN",8713.5928
cty18155,"Switzerland County, IN",
cty18159,"Tipton County, IN",
cty18161,"Union County, IN",
cty18165,"Vermillion County, IN",
cty18171,"Warren County, IN",
cty19001,"Adair County, IA",
cty19005,"Allamakee County, IA",
cty19007,"Appanoose County, IA",
cty19009,"Audubon County, IA",
cty19027,"Carroll County, IA",26772.92
cty19011,"Benton County, IA",25107.877
cty19019,"Buchanan County, IA",24500.9
